CMDLINE python run_correccion.py
MEM 297.703125 1691516132.6054
MEM 297.703125 1691516132.7057
MEM 297.968750 1691516132.8061
MEM 298.675781 1691516132.9064
MEM 299.457031 1691516133.0068
MEM 299.457031 1691516133.1072
MEM 299.457031 1691516133.2075
MEM 299.710938 1691516133.3078
MEM 302.031250 1691516133.4083
MEM 301.210938 1691516133.5087
MEM 301.210938 1691516133.6090
MEM 301.210938 1691516133.7093
MEM 301.464844 1691516133.8097
MEM 302.496094 1691516133.9100
MEM 302.988281 1691516134.0103
MEM 302.992188 1691516134.1106
MEM 302.992188 1691516134.2109
MEM 303.238281 1691516134.3112
MEM 306.523438 1691516134.4115
MEM 304.765625 1691516134.5119
MEM 304.785156 1691516134.6122
MEM 304.785156 1691516134.7125
MEM 304.785156 1691516134.8128
MEM 305.039062 1691516134.9131
MEM 305.523438 1691516135.0134
MEM 306.570312 1691516135.1137
MEM 306.613281 1691516135.2140
MEM 306.613281 1691516135.3142
MEM 306.851562 1691516135.4145
MEM 310.199219 1691516135.5149
MEM 308.355469 1691516135.6152
MEM 308.359375 1691516135.7155
MEM 308.359375 1691516135.8158
MEM 308.613281 1691516135.9161
MEM 308.613281 1691516136.0164
MEM 309.378906 1691516136.1167
MEM 310.152344 1691516136.2170
MEM 310.222656 1691516136.3173
MEM 310.222656 1691516136.4177
MEM 310.468750 1691516136.5180
MEM 314.007812 1691516136.6183
MEM 311.953125 1691516136.7186
MEM 311.953125 1691516136.8189
MEM 312.207031 1691516136.9192
MEM 312.460938 1691516137.0194
MEM 316.265625 1691516137.1198
MEM 314.007812 1691516137.2202
MEM 314.007812 1691516137.3205
MEM 314.007812 1691516137.4208
MEM 314.007812 1691516137.5212
MEM 314.328125 1691516137.6215
MEM 314.984375 1691516137.7219
MEM 315.769531 1691516137.8223
MEM 315.769531 1691516137.9226
MEM 315.769531 1691516138.0229
MEM 316.023438 1691516138.1232
MEM 316.527344 1691516138.2236
MEM 317.574219 1691516138.3239
MEM 317.582031 1691516138.4243
MEM 317.582031 1691516138.5246
MEM 317.835938 1691516138.6249
MEM 321.125000 1691516138.7252
MEM 319.375000 1691516138.8255
MEM 319.375000 1691516138.9258
MEM 319.375000 1691516139.0261
